GHO,YEAR,COUNTRY,GROUP,SEX_CODE,SEX,NUMERIC,GroupCode,,
nMx,1990,India,19,MLE,Male,0.002,15_19,,
nMx,2012,India,19,MLE,Male,0.001,15_19,,
nMx,1990,India,24,MLE,Male,0.002,20_24,,
nMx,2012,India,29,MLE,Male,0.002,25_29,,
nMx,2000,India,34,MLE,Male,0.004,30_34,,
nMx,2012,India,44,MLE,Male,0.006,40_44,,
nMx,1990,India,49,MLE,Male,0.01,45_49,,
nMx,2012,India,59,MLE,Male,0.017,55_59,,
nMx,2000,India,74,MLE,Male,0.068,70_74,,
nMx,1990,India,89,MLE,Male,0.183,85_89,,
nMx,2012,India,4,BTSX,Both sexes,0.003,1_4,,
nMx,2000,India,9,BTSX,Both sexes,0.002,5_9,,
nMx,1990,India,24,BTSX,Both sexes,0.003,20_24,,
nMx,2000,India,34,BTSX,Both sexes,0.003,30_34,,
nMx,1990,India,54,BTSX,Both sexes,0.013,50_54,,
nMx,1990,India,64,BTSX,Both sexes,0.031,60_64,,
nMx,2012,India,64,BTSX,Both sexes,0.023,60_64,,
nMx,2012,India,74,BTSX,Both sexes,0.056,70_74,,
nMx,1990,India,79,BTSX,Both sexes,0.099,75_79,,
nMx,2012,India,79,BTSX,Both sexes,0.083,75_79,,
nMx,2012,India,89,BTSX,Both sexes,0.156,85_89,,
nMx,1990,India,94,BTSX,Both sexes,0.233,90_94,,
nqx,1990,India,1,MLE,Male,0.09,<1,,
nqx,2000,India,1,MLE,Male,0.066,<1,,
nqx,1990,India,14,MLE,Male,0.007,10_14,,
nqx,2012,India,14,MLE,Male,0.004,10_14,,
nqx,2000,India,24,MLE,Male,0.012,20_24,,
nqx,2012,India,24,MLE,Male,0.01,20_24,,
nqx,1990,India,29,MLE,Male,0.014,25_29,,
nqx,2012,India,39,MLE,Male,0.022,35_39,,
nqx,1990,India,59,MLE,Male,0.104,55_59,,
nqx,2012,India,79,MLE,Male,0.374,75_79,,
nqx,2000,India,94,MLE,Male,0.682,90_94,,
nqx,2000,India,1,BTSX,Both sexes,0.067,<1,,
nqx,1990,India,4,BTSX,Both sexes,0.041,1_4,,
nqx,2000,India,14,BTSX,Both sexes,0.006,10_14,,
nqx,1990,India,19,BTSX,Both sexes,0.011,15_19,,
nqx,2012,India,39,BTSX,Both sexes,0.017,35_39,,
nqx,2012,India,44,BTSX,Both sexes,0.021,40_44,,
nqx,2012,India,54,BTSX,Both sexes,0.044,50_54,,
nqx,2000,India,69,BTSX,Both sexes,0.188,65_69,,
nqx,1990,India,89,BTSX,Both sexes,0.6,85_89,,
nqx,1990,India,110,BTSX,Both sexes,1,100+,,
